FileName	Description	Source	Category	SubCategory	Notes	Library	Keywords	Manufacturer	Designer	BWDescription	BWOriginator	BWOriginatorRef
"BUZZARD Black Chested Eagle, Chirp.wav"	"BLACK-CHESTED BUZZARD-EAGLE CHIRP High pitch, very short chirps. Varying speed of sequence."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"BUZZARD Black Chested Eagle, Chirp"	BOOM Library		"BLACK-CHESTED BUZZARD-EAGLE CHIRP High pitch, very short chirps. Varying speed of sequence."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"BUZZARD Common, Screech.wav"	"COMMON BUZZARD SCREECH Medium pitch, throaty screeches. Varying lengths."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"BUZZARD Common, Screech"	BOOM Library		"COMMON BUZZARD SCREECH Medium pitch, throaty screeches. Varying lengths."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"BUZZARD Jackal, Squawk 01.wav"	JACKAL BUZZARD SQUAWK Medium high pitch warning sound.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"BUZZARD Jackal, Squawk 01"	BOOM Library		JACKAL BUZZARD SQUAWK Medium high pitch warning sound.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"COCKATOO Citron, Squawk 01.wav"	"CITRON COCKATOO SQUAWK Short, high pitched, strangled social call."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"COCKATOO Citron, Squawk 01"	BOOM Library		"CITRON COCKATOO SQUAWK Short, high pitched, strangled social call."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"COCKATOO Major Mitchell's, Squawk 01.wav"	"MAJOR MITCHELL'S COCKATOO SQUAWK Short, very high social call, stuttering and vibrato."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"COCKATOO Major Mitchell's, Squawk 01"	BOOM Library		"MAJOR MITCHELL'S COCKATOO SQUAWK Short, very high social call, stuttering and vibrato."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"COCKATOO Major Mitchell's, Squawk 02.wav"	"MAJOR MITCHELL'S COCKATOO Short, high, distressed call. Modulation and vibrato."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"COCKATOO Major Mitchell's, Squawk 02"	BOOM Library		"MAJOR MITCHELL'S COCKATOO Short, high, distressed call. Modulation and vibrato."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"COCKATOO Umbrella, Squawk 01.wav"	"UMBRELLA COCKATOO SQUAWK Short, high pitched aggressive chirps."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"COCKATOO Umbrella, Squawk 01"	BOOM Library		"UMBRELLA COCKATOO SQUAWK Short, high pitched aggressive chirps."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CRANE Blue, Call, Courting 01.wav"	"AFRICAN BLUE CRANE CALL Exotic mating call, percussive cackle."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CRANE Blue, Call, Courting 01"	BOOM Library		"AFRICAN BLUE CRANE CALL Exotic mating call, percussive cackle."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Agitated 01.wav"	"CAPE CROW CAW Long, medium intensity agitated caw."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Agitated 01"	BOOM Library		"CAPE CROW CAW Long, medium intensity agitated caw."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Agitated 02.wav"	"CAPE CROW CAW Short, repetitive caw with slight stutter."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Agitated 02"	BOOM Library		"CAPE CROW CAW Short, repetitive caw with slight stutter."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Agitated 03.wav"	"CAPE CROW CAW Short, high, agitated caw. Vibrato and formant modulation."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Agitated 03"	BOOM Library		"CAPE CROW CAW Short, high, agitated caw. Vibrato and formant modulation."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Fast Modulate 01.wav"	"CAPE CROW CAW Long, fast, formant modulated groan. Vowel like tone."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Fast Modulate 01"	BOOM Library		"CAPE CROW CAW Long, fast, formant modulated groan. Vowel like tone."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Fast Modulate 02.wav"	"CAPE CROW CAW Short, fast, raspy modulated caw. "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Fast Modulate 02"	BOOM Library		"CAPE CROW CAW Short, fast, raspy modulated caw. "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, High, Modulate 01.wav"	"CAPE CROW CAW Short repetitive phrase, building to a modulated end. Formant modulation, imitating a lion roar."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, High, Modulate 01"	BOOM Library		"CAPE CROW CAW Short repetitive phrase, building to a modulated end. Formant modulation, imitating a lion roar."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Modulate 01.wav"	"CAPE CROW CAW Short, fast modulated caw with strange filtering effect. Imitating a lion roar."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Modulate 01"	BOOM Library		"CAPE CROW CAW Short, fast modulated caw with strange filtering effect. Imitating a lion roar."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Modulate 02.wav"	"CAPE CROW CAW Medium, modulated caw, with strange filtering effect. Imitating a lion roar."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Modulate 02"	BOOM Library		"CAPE CROW CAW Medium, modulated caw, with strange filtering effect. Imitating a lion roar."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Modulate 03.wav"	"CAPE CROW CAW Low, moderate modulated caw with strange filtering effect. Imitating a lion roar."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Modulate 03"	BOOM Library		"CAPE CROW CAW Low, moderate modulated caw with strange filtering effect. Imitating a lion roar."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Normal 01.wav"	"CAPE CROW CAW Normal social call, medium intensity with strong stuttering."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Normal 01"	BOOM Library		"CAPE CROW CAW Normal social call, medium intensity with strong stuttering."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Normal 02.wav"	"CAPE CROW CAW Normal social call, medium intensity with stuttering. Irregular pattern."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Normal 02"	BOOM Library		"CAPE CROW CAW Normal social call, medium intensity with stuttering. Irregular pattern."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Normal, Short Burst 01.wav"	"CAPE CROW CAW Normal social call, short burst, medium intensity with stuttering."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Normal, Short Burst 01"	BOOM Library		"CAPE CROW CAW Normal social call, short burst, medium intensity with stuttering."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Sarcastic 01.wav"	CAPE CROW CAW Low vowel sounds with sarcastic tone.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Sarcastic 01"	BOOM Library		CAPE CROW CAW Low vowel sounds with sarcastic tone.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Single 01.wav"	"CAPE CROW CAW Normal social call, medium intensity. Pitch rise, glissando."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Single 01"	BOOM Library		"CAPE CROW CAW Normal social call, medium intensity. Pitch rise, glissando."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Strange 01.wav"	"CAPE CROW CAW Long, irregular modulating pattern."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Strange 01"	BOOM Library		"CAPE CROW CAW Long, irregular modulating pattern."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Caw, Strange 02.wav"	"CAPE CROW CAW Medium length, irregular modulating pattern."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Caw, Strange 02"	BOOM Library		"CAPE CROW CAW Medium length, irregular modulating pattern."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Groan 01.wav"	"CAPE CROW GROAN Medium length, irregular pattern."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Groan 01"	BOOM Library		"CAPE CROW GROAN Medium length, irregular pattern."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Groan 02.wav"	"CAPE CROW GROAN Long, low, repetitive pattern. Imitating a lion roar."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Groan 02"	BOOM Library		"CAPE CROW GROAN Long, low, repetitive pattern. Imitating a lion roar."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Groan, Click 01.wav"	"CAPE CROW GROAN Long low groan, ending with clicks."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Groan, Click 01"	BOOM Library		"CAPE CROW GROAN Long low groan, ending with clicks."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"CROW Cape, Groan, Special 01.wav"	CAPE CROW GROAN Long low gargling with special effect. 	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"CROW Cape, Groan, Special 01"	BOOM Library		CAPE CROW GROAN Long low gargling with special effect. 	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE African Fish, Call.wav"	AFRICAN FISH EAGLE CALL Typical African Fish Eagle territorial call.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE African Fish, Call"	BOOM Library		AFRICAN FISH EAGLE CALL Typical African Fish Eagle territorial call.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE African Fish, Call, Normal 01.wav"	"AFRICAN FISH EAGLE CALL Clean exotic, melodic social call. African classic."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE African Fish, Call, Normal 01"	BOOM Library		"AFRICAN FISH EAGLE CALL Clean exotic, melodic social call. African classic."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Bald, Call.wav"	BALD EAGLE CALL Multiple fast Bald Eagle calls.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Bald, Call"	BOOM Library		BALD EAGLE CALL Multiple fast Bald Eagle calls.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Bald, Chirp 01.wav"	BALD EAGLE CHIRP Several typical Bald Eagle chirps.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Bald, Chirp 01"	BOOM Library		BALD EAGLE CHIRP Several typical Bald Eagle chirps.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Bald, Chirp 02.wav"	BALD EAGLE CHIRP Average Bald Eagle chirps.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Bald, Chirp 02"	BOOM Library		BALD EAGLE CHIRP Average Bald Eagle chirps.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Bald, Chirp 03.wav"	BALD EAGLE CHIRP Bald Eagle chirping several times.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Bald, Chirp 03"	BOOM Library		BALD EAGLE CHIRP Bald Eagle chirping several times.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Bateleur, Chirp 01.wav"	"BATELUER EAGLE CHIRP Short, medium, social chirps."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Bateleur, Chirp 01"	BOOM Library		"BATELUER EAGLE CHIRP Short, medium, social chirps."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Bateleur, Chirp 02.wav"	"BATELUER EAGLE chirps Short, medium, social chirps. Irregular pattern."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Bateleur, Chirp 02"	BOOM Library		"BATELUER EAGLE chirps Short, medium, social chirps. Irregular pattern."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Bateleur, Chirp 03.wav"	"BATELUER EAGLE chirps Short, medium, social chirps. Building intensity."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Bateleur, Chirp 03"	BOOM Library		"BATELUER EAGLE chirps Short, medium, social chirps. Building intensity."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Bateleur, Chirp 04.wav"	"BATELUER EAGLE chirps Short, high, social chirps. "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Bateleur, Chirp 04"	BOOM Library		"BATELUER EAGLE chirps Short, high, social chirps. "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Bateleur, Chirp 05.wav"	"BATELUER EAGLE chirps Long, high chirps. Building intensity to large squawk."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Bateleur, Chirp 05"	BOOM Library		"BATELUER EAGLE chirps Long, high chirps. Building intensity to large squawk."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Bateleur, Chirp 06.wav"	"BATELUER EAGLE chirps Short, high, raspy chirps."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Bateleur, Chirp 06"	BOOM Library		"BATELUER EAGLE chirps Short, high, raspy chirps."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Bateleur, Chirp, Normal 01.wav"	"BATELUER EAGLE chirps Normal, high social chip. "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Bateleur, Chirp, Normal 01"	BOOM Library		"BATELUER EAGLE chirps Normal, high social chip. "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Booted, Chirp 01.wav"	"BOOTED EAGLE chirps Short, repetitive, high chirps. Build in intensity. Flourish ending."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Booted, Chirp 01"	BOOM Library		"BOOTED EAGLE chirps Short, repetitive, high chirps. Build in intensity. Flourish ending."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Eastern Imperial, Beg 01.wav"	EASTERN IMPERIAL EAGLE BEG Several raspy shouts with occasional chirping.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Eastern Imperial, Beg 01"	BOOM Library		EASTERN IMPERIAL EAGLE BEG Several raspy shouts with occasional chirping.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Eastern Imperial, Beg 02.wav"	"EASTERN IMPERIAL EAGLE BEG Fast, raspy shouts, some chirping elements."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Eastern Imperial, Beg 02"	BOOM Library		"EASTERN IMPERIAL EAGLE BEG Fast, raspy shouts, some chirping elements."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Eastern Imperial, Beg 03.wav"	EASTERN IMPERIAL EAGLE BEG Multiple short shreaks.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Eastern Imperial, Beg 03"	BOOM Library		EASTERN IMPERIAL EAGLE BEG Multiple short shreaks.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Eastern Imperial, Beg 04.wav"	"EASTERN IMPERIAL EAGLE BEG Excited begging. Intense, raspy calls, some chirps."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Eastern Imperial, Beg 04"	BOOM Library		"EASTERN IMPERIAL EAGLE BEG Excited begging. Intense, raspy calls, some chirps."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Eastern Imperial, Pair, Squawk.wav"	"EASTERN IMPERIAL EAGLES SQUAWK Two eagles, squawking and cackling."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Eastern Imperial, Pair, Squawk"	BOOM Library		"EASTERN IMPERIAL EAGLES SQUAWK Two eagles, squawking and cackling."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"EAGLE Eastern Imperial, Squawk.wav"	"EASTERN IMPERIAL EAGLE SQUAWK Very short squawks, medium to low pitch."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"EAGLE Eastern Imperial, Squawk"	BOOM Library		"EASTERN IMPERIAL EAGLE SQUAWK Very short squawks, medium to low pitch."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
